n0=4, d0=2, t0=0, tf=5, n_steps=100, n_simulation=1
n0=4, d0=2, t0=0, tf=5, n_steps=100, n_simulation=1
n0=4, d0=2, t0=0, tf=5, n_steps=101, n_simulation=1
n0=4, d0=2, t0=0, tf=5, n_steps=101, n_simulation=1
n0=4, d0=2, t0=0, tf=5, n_steps=101, n_simulation=1
n0=4, d0=2, t0=0, tf=5, n_steps=101, n_simulation=1
n0=4, d0=2, t0=0, tf=5, n_steps=101, n_simulation=1
n0=4, d0=2, t0=0, tf=5, n_steps=101, n_simulation=1
n0=4, d0=2, t0=0, tf=5, n_steps=101, n_simulation=1
n0=4, d0=2, t0=0, tf=5, n_steps=101, n_simulation=1
n0=4, d0=2, t0=0, tf=10, n_steps=2001, n_simulation=1
n0=10, d0=2, t0=0, tf=10, n_steps=2001, n_simulation=1
n0=10, d0=2, t0=0, tf=10, n_steps=201, n_simulation=1
n0=20, d0=2, t0=0, tf=8, n_steps=201, n_simulation=1
n0=20, d0=2, t0=0, tf=8, n_steps=201, n_simulation=1
n0=20, d0=2, t0=0, tf=8, n_steps=201, n_simulation=1
n0=20, d0=2, t0=0, tf=8, n_steps=201, n_simulation=1
n0=20, d0=2, t0=0, tf=8, n_steps=201, n_simulation=1
n0=20, d0=2, t0=0, tf=8, n_steps=201, n_simulation=1
n0=20, d0=2, t0=0, tf=8, n_steps=201, n_simulation=1
n0=20, d0=2, t0=0, tf=40, n_steps=2001, n_simulation=1
n0=20, d0=2, t0=0, tf=100, n_steps=4001, n_simulation=1
n0=20, d0=2, t0=0, tf=200, n_steps=2001, n_simulation=1
n0=4, d0=2, t0=0, tf=1.01, n_steps=101, n_simulation=1
n0=20, d0=2, t0=0, tf=1.01, n_steps=101, n_simulation=1
n0=20, d0=2, t0=0, tf=100.10000000000001, n_steps=1001, n_simulation=1
n0=20, d0=2, t0=0, tf=100.10000000000001, n_steps=1001, n_simulation=1
n0=20, d0=2, t0=0, tf=100.10000000000001, n_steps=1001, n_simulation=1
n0=10, d0=2, t0=0, tf=100.10000000000001, n_steps=1001, n_simulation=1
n0=10, d0=2, t0=0, tf=100.10000000000001, n_steps=1001, n_simulation=1
n0=10, d0=2, t0=0, tf=100.10000000000001, n_steps=1001, n_simulation=1
